index,label,ev_type,ev_date,entry_date,entry_spot,strike,gap_pct,be_pct,cost,exit_2h,pnl_2h,win_2h,exit_eod,pnl_eod,win_eod,rv_pct,pre_iv_pct,lot_size
BANKNIFTY,FOMC Jun-24 (hold),fomc,2024-06-13,2024-06-12,49895.1015625,49900,0.568990599496788,2.207594641617038,1101.4815885231292,544.6859314412559,-8351.9348562281,False,53.30078125,-15722.712109096938,False,32.537827002423555,43.9260664532718,15
BANKNIFTY,FOMC Jul-24 (hold),fomc,2024-07-31,2024-07-30,51499.30078125,51500,0.16339724272652062,0.8632214967312426,444.5530350100307,220.15831070901004,-3365.9208645153103,False,53.3984375,-5867.318962650461,False,12.719926539838742,17.171900828782302,15
BANKNIFTY,FOMC Sep-24 (-50bp),fomc,2024-09-19,2024-09-18,52750.3984375,52800,0.3390525338152807,0.7720484207999734,407.2586181024126,329.4373025792855,-1167.3197328469066,False,237.6015625,-2544.8558340361888,False,11.34702303907469,15.318481102750834,15
BANKNIFTY,FOMC Nov-24 (-25bp),fomc,2024-11-08,2024-11-07,51916.5,51900,-0.09120715475812122,1.207500913354054,626.8922116814574,305.50746150818304,-4820.7712525991155,False,338.80078125,-4321.371456471861,False,17.78762827296357,24.013298168500818,15
BANKNIFTY,FOMC Dec-24 (-25bp),fomc,2024-12-19,2024-12-18,52139.55078125,52100,-1.3638429020675809,1.017614781309733,530.5797756584943,766.6341212244773,3540.815183489745,True,524.30078125,-94.18491612741491,False,14.956114719726424,20.190754871630674,15
BANKNIFTY,FOMC Jan-25 (hold),fomc,2025-01-30,2025-01-29,49165.94921875,49200,0.08186560137569804,1.160757561361294,570.6974731716946,264.3335688935913,-4595.458564171549,False,111.94921875,-6881.223816325419,False,17.096087144949657,23.079717645682038,15
BANKNIFTY,FOMC Mar-25 (hold),fomc,2025-03-20,2025-03-19,49702.6015625,49700,0.4929319437975848,0.788500407841291,391.9052160280444,361.7488850023683,-452.3449653851412,False,362.8515625,-435.8048029206657,False,11.616336816885834,15.682054702795876,15
BANKNIFTY,FOMC May-25 (hold),fomc,2025-05-08,2025-05-07,54610.8984375,54600,0.3494752292318026,1.3761362765220402,751.5203843330455,395.84146078321464,-5335.183853247463,False,234.3515625,-7757.532327495683,False,20.278430222897263,27.375880800911307,15
BANKNIFTY,FOMC Jun-25,fomc,2025-06-19,2025-06-18,55828.75,55800,-0.07863052190851487,0.9574121200858767,534.5112189924439,254.9640633244453,-4193.207335019979,False,222.55078125,-4679.4065661366585,False,14.08533763579143,19.01520580831843,15
BANKNIFTY,FOMC Jul-25,fomc,2025-07-31,2025-07-30,56150.69921875,56200,-0.7525298653964058,0.6804739256506148,382.09086725409725,554.0808784548547,2579.8501680113613,True,238.05078125,-2160.6012900614587,False,10.0,13.5,15
BANKNIFTY,FOMC Sep-25,fomc,2025-09-18,2025-09-17,55493.30078125,55500,0.547454876486006,0.6785887187564367,376.57127876714003,351.6139206760387,-374.3603713665203,False,227.44921875,-2236.8309002571004,False,10.0,13.5,15
BANKNIFTY,FOMC Oct-25,fomc,2025-10-30,2025-10-29,58385.25,58400,-0.3994146102825628,0.6785305399671976,396.16175208619825,332.7482114155857,-951.2031100591887,False,368.8984375,-408.9497187929737,False,10.0,13.5,15
BANKNIFTY,FOMC Dec-25,fomc,2025-12-11,2025-12-10,58960.3984375,59000,0.009838436312721025,0.6794278601152188,400.59337341931314,209.59780467175733,-2864.933531213337,False,209.8515625,-2861.127163789697,False,10.0,13.5,15
BANKNIFTY,FOMC Jan-26,fomc,2026-01-29,2026-01-28,59598.80078125,59600,-0.30629942021825235,0.6787427618225006,404.52254643574634,256.81828301899077,-2215.5639512513335,False,357.8515625,-700.064759036195,False,10.0,13.5,15
BANKNIFTY,FOMC Mar-26,fomc,2026-03-19,2026-03-18,55326.05078125,55300,-3.346524781464202,1.3054887951130287,722.275393727763,1957.11437605273,18522.584734874505,True,1849.0,16900.869094083555,True,19.22736879316224,25.956947870769024,15
